AMFI Code,Fund Name,Category,1Y CAGR (%),3Y CAGR (%),5Y CAGR (%),Risk Score,Score
149329,Nippon India Taiwan Equity Fund,Other Equity,139.93263935396203,59.99071189160618,,10,27.994427134963708
119277,DSP World Gold Mining Overseas Equity Omni FoF,Other Equity,79.77251058365044,58.075554405967765,30.104600891468603,9,27.645332643580655
SMH,VanEck Semiconductor ETF,International,92.52945190915358,58.10538756338599,35.93242931602643,10,26.86323253803159
148928,Mirae Asset NYSE FANG + ETF Fund of Fund,Other Equity,30.952731556471825,51.33192160515725,32.562809442460484,8,24.399152963094345
149760,Nippon India Silver ETF FOF,Other Equity,100.43418789836034,46.28466144813117,,9,20.570796868878702
151731,UTI Silver ETF Fund of Fund,Other Equity,100.84948989960574,46.82816076477651,,10,20.096896458865906
150615,Axis Silver Fund of Fund,Other Equity,100.8890864636586,46.65560940322098,,10,19.993365641932588
149775,ICICI Prudential Silver ETF FOF,Other Equity,100.51890121679233,46.60461835015055,,10,19.962771010090332
150581,Edelweiss Gold and Silver ETF FOF,Other Equity,80.67108490319887,42.432013006736405,,7,19.85920780404184
150737,HDFC Silver ETF Fund of Fund,Other Equity,100.61409534997141,46.410250707130096,,10,19.846150424278058
151603,Kotak Silver ETF Fund of Fund,Other Equity,101.87745616440145,46.38125660973229,,10,19.828753965839372
151750,HDFC Defence Fund,Other Equity,33.83543353083536,42.34884879512286,,7,19.809309277073716
149780,Aditya Birla Sun Life Silver ETF FOF,Other Equity,100.19952868989125,46.31023203974649,,10,19.786139223847893
145552,Motilal Oswal Nasdaq 100 Fund of Fund,Other Equity,63.382139650528366,40.87768133435088,24.74484182254928,6,19.726608800610528
EWY,iShares MSCI South Korea ETF,International,138.8315714488999,44.39994839821213,17.478636508769263,9,19.43996903892728
EWT,iShares MSCI Taiwan ETF,International,78.87604355534185,41.150763004113756,20.09428414002219,7,19.09045780246825
115132,Quantum Gold ETF FOF,Other Equity,54.08692174517058,36.662104041405776,25.380853056441953,4,18.797262424843467
119788,SBI GOLD FUND,Other Equity,53.65017922562678,36.4284107433513,25.356888856405703,4,18.65704644601078
119781,Kotak Gold Fund Growth,Other Equity,53.758817216884225,36.42032511487954,25.118880695838275,4,18.652195068927725
118663,Nippon India Gold Savings Fund,Other Equity,53.35543189088649,36.26599224036735,25.10315358425168,4,18.559595344220412
150714,UTI Gold ETF Fund of Fund,Other Equity,53.92283580761805,36.84350294095442,,5,18.106101764572653
120685,ICICI Prudential Gold ETF FOF,Other Equity,53.736624582460536,36.44833621668355,25.266227838012824,5,17.86900173001013
120473,Axis Gold Fund,Other Equity,53.33965427825096,36.065010316532394,25.18232858571665,5,17.639006189919435
150597,Mirae Asset Global X Artificial Intelligence & Technology ETF Fund of Fund,Other Equity,53.95469085491433,38.72931333950906,,7,17.637588003705435
120546,Aditya Birla Sun Life Gold Fund,Other Equity,53.857233354449384,36.56648190463807,25.306704249232958,6,17.139889142782838
151974,LIC MF Gold ETF Fund of Fund,Other Equity,51.64524712469569,36.24916828551892,,7,16.14950097131135
SLV,iShares Silver Trust,International,66.25180866891354,40.14060394244516,21.425836793724518,10,16.084362365467097
149455,ICICI Prudential Strategic Metal and Energy Equity Fund of Fund,Other Equity,79.33681847303502,36.087791022025975,,7,16.052674613215583
149170,Mirae Asset S&P 500 Top 50 ETF Fund of Fund,Other Equity,24.554668967004535,35.945647140668235,,7,15.96738828440094
VLUE,iShares MSCI USA Value Factor ETF,International,74.41392057191123,32.50548676671574,17.16311958793002,5,15.503292060029445
148662,Kotak US Specific Equity Passive FOF,Other Equity,40.61560046511181,33.3922651363485,20.871296747803882,6,15.235359081809097
149291,Aditya Birla Sun Life US Equity Passive FOF,Other Equity,40.70724906510663,33.2508981940701,,6,15.15053891644206
150751,Axis NASDAQ 100 US Specific Equity Passive FOF,Other Equity,40.008347398546995,32.834546785202726,,6,14.900728071121634
